  D5    1.000      0      0      0             Sat Jun 10 01:25:57 2017
  D4    1.000      0      0      0             Sat Jun 10 01:29:01 2017
  D4    1.000      0      0      0             Sat Jun 10 01:39:25 2017
  D4    1.000      0      0      0             Sat Jun 10 01:49:33 2017
  D4    1.000      0      0      0             Sat Jun 10 01:54:07 2017
  D4    1.000  CSF2015      0      0      0             Sat Jun 10 02:07:34 2017
  D4    1.000   BH2015      0      0      0             Sat Jun 10 02:09:31 2017
  D4    1.000   BH2015      0      0      0             Sat Jun 10 02:12:33 2017
  D3    1.000   BH2015      0      0      0             Sat Jun 10 16:13:17 2017
  D4    1.000   BH2015      0      0      0             Sat Jun 10 16:16:50 2017
  D5    1.000   BH2015      0      0      0             Sat Jun 10 16:19:55 2017
  D6    1.000   BH2015      0      0      0             Sat Jun 10 16:21:34 2017
  D7    1.000   BH2015    231      1    231             Sat Jun 10 16:23:23 2017
  D9    1.000   BH2015      0      0      0             Sat Jun 10 16:25:31 2017
 D12    1.000   BH2015      0      0      0             Sat Jun 10 16:28:17 2017
 D16    1.000   BH2015      0      0      0             Sat Jun 10 16:31:52 2017
 D22    1.000   BH2015      0      0      0             Sat Jun 10 16:36:44 2017
 D24    1.000   BH2015      0      0      0             Sat Jun 10 16:39:09 2017
 D29    1.000   BH2015      0      0      0             Sat Jun 10 16:40:50 2017
 D29    1.000   BH2015      0      0      0             Sat Jun 10 16:54:03 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 16:57:51 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 17:00:13 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 17:05:35 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 17:14:55 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 17:44:18 2017
  D5    1.000   BH2015      0      0      0             Sun Jun 11 17:49:34 2017
  D6    1.000   BH2015      0      0      0             Sun Jun 11 17:53:12 2017
  D7    1.000   BH2015    231      1    231             Sun Jun 11 17:57:17 2017
  D8    1.000   BH2015      0      0      0             Sun Jun 11 17:59:11 2017
  D9    1.000   BH2015      0      0      0             Sun Jun 11 18:00:57 2017
 D12    1.000   BH2015      0      0      0             Sun Jun 11 18:02:14 2017
 D16    1.000   BH2015      0      0      0             Sun Jun 11 18:04:36 2017
 D22    1.000   BH2015      0      0      0             Sun Jun 11 18:06:47 2017
 D24    1.000   BH2015      0      0      0             Sun Jun 11 18:08:33 2017
 D29    1.000   BH2015      0      0      0             Sun Jun 11 18:10:17 2017
  D3    1.000   BH2015      0      0      0             Sun Jun 11 18:13:30 2017
  D3    2.007   BH2015      0      0      0             Sun Jun 11 19:17:01 2017
  D4    2.001   BH2015     23      1     23             Sun Jun 11 19:18:37 2017
  D4    2.001   BH2015     23      1     23             Sun Jun 11 19:26:55 2017
  D5    2.001   BH2015      0      0      0             Sun Jun 11 19:32:31 2017
  D6    2.001   BH2015      0      0      0             Sun Jun 11 19:38:55 2017
  D9    2.001   BH2015      0      0      0             Sun Jun 11 19:40:37 2017
 D12    2.007   BH2015      0      0      0             Sun Jun 11 19:41:57 2017
 D16    2.007   BH2015      0      0      0             Sun Jun 11 19:44:40 2017
 D22    2.007   BH2015      0      0      0             Sun Jun 11 19:46:47 2017
 D24    2.007   BH2015      0      0      0             Sun Jun 11 19:48:32 2017
 D29    2.007   BH2015      0      0      0             Sun Jun 11 19:50:12 2017
  D3   -0.000   BH2015      0      0      0             Sun Jun 11 19:58:17 2017
  D4   -0.000   BH2015      0      0      0             Sun Jun 11 20:18:23 2017
  D5   -0.000   BH2015      0      0      0             Sun Jun 11 20:22:42 2017
  D5   -0.000   BH2015      0      0      0             Sun Jun 11 20:31:18 2017
  D6   -0.000   BH2015      0      0      0             Sun Jun 11 20:37:54 2017
  D7   -0.000   BH2015      0      0      0             Sun Jun 11 20:40:01 2017
  D9   -0.000   BH2015    404      9    404             Sun Jun 11 21:37:38 2017
 D12   -0.000   BH2015      0      0      0             Sun Jun 11 21:47:31 2017
 D16   -0.000   BH2015      0      0      0             Sun Jun 11 21:51:14 2017
 D22   -0.000   BH2015      0      0      0             Sun Jun 11 22:10:22 2017
 D22   -0.000   BH2015      0      0      0             Sun Jun 11 22:26:53 2017
 D24   -0.000   BH2015      0      0      0             Sun Jun 11 22:29:01 2017
 D29   -0.000   BH2015      0      0      0             Sun Jun 11 22:30:48 2017
  D9   -0.000   BH2015    404      9    404             Sun Jun 11 22:55:25 2017
  D9   -0.000   BH2015    404      9    404             Sun Jun 11 22:57:25 2017
  D9   -0.000   BH2015    404      9    404             Mon Jun 12 05:32:48 2017
  D9   -0.000   BH2015    404      9    404             Mon Jun 12 05:39:16 2017
  D9   -0.000   BH2015    404      9    404             Mon Jun 12 05:44:36 2017
  D6    1.000   BH2015      0      0      0             Mon Jun 12 05:46:04 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:17:15 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:27:28 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:33:12 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:41:32 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:44:07 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:45:22 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:52:00 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:55:53 2017
  D5    1.000   BH2015      0      0      0             Mon Jun 12 23:59:43 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 00:07:55 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 00:11:57 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 00:15:57 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 00:24:26 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 00:25:29 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 00:26:41 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 00:29:05 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 21:51:00 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 21:52:23 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:01:20 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:05:22 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:09:37 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:13:13 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:19:14 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:21:00 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:22:48 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 22:25:51 2017
  D3    1.000   BH2015      0      0      0             Tue Jun 13 22:27:21 2017
  D3    1.000   BH2015      0      0      0             Tue Jun 13 22:33:34 2017
  D3    1.000   BH2015      0      0      0             Tue Jun 13 22:38:25 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:14:30 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:17:21 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:20:58 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:23:15 2017
  D3    1.000   BH2015      0      0      0             Wed Jun 14 02:44:38 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 19:55:31 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 21:16:06 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 21:24:00 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 21:35:38 2017
