  D5    1.000     54      1     54             Sat Jun 10 01:25:57 2017
  D4    1.000      0      0      0             Sat Jun 10 01:29:01 2017
  D4    1.000      0      0      0             Sat Jun 10 01:39:25 2017
  D4    1.000      0      0      0             Sat Jun 10 01:49:33 2017
  D4    1.000      0      0      0             Sat Jun 10 01:54:07 2017
  D4    1.000  CSF2015      0      0      0             Sat Jun 10 02:07:34 2017
  D4    1.000   BH2015      0      0      0             Sat Jun 10 02:09:31 2017
  D4    1.000   BH2015      0      0      0             Sat Jun 10 02:12:33 2017
  D3    1.000   BH2015      0      0      0             Sat Jun 10 16:13:17 2017
  D4    1.000   BH2015      0      0      0             Sat Jun 10 16:16:50 2017
  D5    1.000   BH2015     54      1     54             Sat Jun 10 16:19:55 2017
  D6    1.000   BH2015    160      1    160             Sat Jun 10 16:21:34 2017
  D7    1.000   BH2015    231      1    231             Sat Jun 10 16:23:23 2017
  D9    1.000   BH2015      0      0      0             Sat Jun 10 16:25:31 2017
 D12    1.000   BH2015      0      0      0             Sat Jun 10 16:28:17 2017
 D16    1.000   BH2015      0      0      0             Sat Jun 10 16:31:52 2017
 D22    1.000   BH2015      0      0      0             Sat Jun 10 16:36:44 2017
 D24    1.000   BH2015      0      0      0             Sat Jun 10 16:39:09 2017
 D29    1.000   BH2015      0      0      0             Sat Jun 10 16:54:03 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 16:57:51 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 17:00:13 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 17:05:35 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 17:14:55 2017
  D4    1.000   BH2015      0      0      0             Sun Jun 11 17:44:18 2017
  D5    1.000   BH2015     54      1     54             Sun Jun 11 17:49:34 2017
  D6    1.000   BH2015    160      1    160             Sun Jun 11 17:53:12 2017
  D7    1.000   BH2015    231      1    231             Sun Jun 11 17:57:17 2017
  D8    1.000   BH2015    156      2    156             Sun Jun 11 17:59:11 2017
  D9    1.000   BH2015      0      0      0             Sun Jun 11 18:00:57 2017
 D12    1.000   BH2015      0      0      0             Sun Jun 11 18:02:14 2017
 D16    1.000   BH2015      0      0      0             Sun Jun 11 18:04:36 2017
 D22    1.000   BH2015      0      0      0             Sun Jun 11 18:06:47 2017
 D24    1.000   BH2015      0      0      0             Sun Jun 11 18:08:33 2017
 D29    1.000   BH2015      0      0      0             Sun Jun 11 18:10:17 2017
  D3    1.000   BH2015      0      0      0             Sun Jun 11 18:13:30 2017
  D3    2.007   BH2015      0      0      0             Sun Jun 11 19:17:01 2017
  D4    2.001   BH2015     36      2     36             Sun Jun 11 19:18:37 2017
  D4    2.001   BH2015     36      2     36             Sun Jun 11 19:26:55 2017
  D5    2.001   BH2015     32      1     32             Sun Jun 11 19:32:31 2017
  D6    2.001   BH2015     82      1     82             Sun Jun 11 19:38:55 2017
  D9    2.001   BH2015      0      0      0             Sun Jun 11 19:40:37 2017
 D12    2.007   BH2015      2      0      0             Sun Jun 11 19:41:57 2017
 D16    2.007   BH2015     91      1     91             Sun Jun 11 19:44:40 2017
 D22    2.007   BH2015      0      0      0             Sun Jun 11 19:46:47 2017
 D24    2.007   BH2015      0      0      0             Sun Jun 11 19:48:32 2017
 D29    2.007   BH2015    126      2    126             Sun Jun 11 19:50:12 2017
  D3   -0.000   BH2015      0      0      0             Sun Jun 11 19:58:17 2017
  D4   -0.000   BH2015      0      0      0             Sun Jun 11 20:18:23 2017
  D5   -0.000   BH2015      0      0      0             Sun Jun 11 20:31:18 2017
  D6   -0.000   BH2015      0      0      0             Sun Jun 11 20:37:54 2017
  D7   -0.000   BH2015      0      0      0             Sun Jun 11 20:40:01 2017
  D9   -0.000   BH2015      0      0      0             Sun Jun 11 21:37:38 2017
 D12   -0.000   BH2015      0      0      0             Sun Jun 11 21:47:31 2017
 D16   -0.000   BH2015      0      0      0             Sun Jun 11 21:51:14 2017
 D22   -0.000   BH2015      0      0      0             Sun Jun 11 22:26:53 2017
 D24   -0.000   BH2015      0      0      0             Sun Jun 11 22:29:01 2017
 D29   -0.000   BH2015      0      0      0             Sun Jun 11 22:30:48 2017
  D9   -0.000   BH2015      0      0      0             Sun Jun 11 22:57:25 2017
  D6    1.000   BH2015    160      1    160             Mon Jun 12 05:47:18 2017
  D5    1.000   BH2015    156      4    149             Tue Jun 13 00:26:41 2017
  D5    1.000   BH2015      0      0      0             Tue Jun 13 00:29:05 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 21:24:00 2017
  D5    1.000   BH2015      0      0      0             Wed Jun 14 21:35:38 2017
  D7    1.000   BH2015    231      1    231             Wed Jun 14 21:40:12 2017
  D4    1.000   BH2015      0      0      0             Wed Jun 14 21:59:16 2017
  D4    1.000   BH2015      0      0      0             Wed Jun 14 22:03:42 2017
  D4    1.000   BH2015      0      0      0             Wed Jun 14 22:18:22 2017
  D4    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:25:05 2017
  D3    2.007   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:27:24 2017
  D4    2.001   BH2015     36      2     36   497446.91   498160.53   503926.91             Wed Jun 14 22:28:42 2017
  D5    2.001   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:30:15 2017
  D6    2.001   BH2015     82      1     82   500214.88   495818.38   505711.31             Wed Jun 14 22:31:17 2017
  D7    2.007   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:32:49 2017
  D9    2.001   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:35:10 2017
 D12    2.007   BH2015      2      0      0   502517.72   494279.06   499789.88             Wed Jun 14 22:36:22 2017
 D16    2.007   BH2015     91      1     91   492208.38   499026.66   495955.91             Wed Jun 14 22:38:51 2017
 D22    2.007   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:41:27 2017
 D24    2.007   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:43:27 2017
 D29    2.007   BH2015    126      2    126   490860.59   495451.56   499134.25             Wed Jun 14 22:46:39 2017
  D3    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:50:23 2017
  D4    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 22:51:58 2017
  D5    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:05:30 2017
  D6    1.000   BH2015    160      1    160   501981.12   495706.41   504754.75             Wed Jun 14 23:06:54 2017
  D7    1.000   BH2015    231      1    231        0.00        0.00        0.00             Wed Jun 14 23:08:54 2017
  D9    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:11:01 2017
 D12    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:12:14 2017
 D16    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:14:40 2017
 D22    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:17:31 2017
 D24    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:20:14 2017
 D24    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:23:29 2017
 D29    1.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:25:25 2017
  D3   -0.000   BH2015      0      0      0        0.00        0.00        0.00             Wed Jun 14 23:30:40 2017
  D3    2.007   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 21:35:21 2017
  D4    2.001   BH2015     36      2     36   497446.91   498160.53   503926.91             Thu Jun 15 21:44:28 2017
  D5    2.001   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 21:49:23 2017
  D6    2.001   BH2015     82      1     82   500214.88   495818.38   505711.31             Thu Jun 15 21:50:51 2017
  D7    2.007   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 21:52:25 2017
  D9    2.001   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 21:54:04 2017
 D12    2.007   BH2015      2      0      0   502517.72   494279.06   499789.88             Thu Jun 15 21:55:35 2017
 D16    2.007   BH2015     91      1     91   492208.38   499026.66   495955.91             Thu Jun 15 21:58:10 2017
 D22    2.007   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:01:49 2017
 D24    2.007   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:03:41 2017
 D29    2.007   BH2015    126      2    126   490860.59   495451.56   499134.25             Thu Jun 15 22:05:09 2017
  D3    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:07:04 2017
  D4    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:08:27 2017
  D5    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:09:46 2017
  D6    1.000   BH2015    160      1    160   501981.12   495706.41   504754.75             Thu Jun 15 22:13:47 2017
  D7    1.000   BH2015    231      1    231        0.00        0.00        0.00             Thu Jun 15 22:15:26 2017
  D9    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:17:08 2017
 D12    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:18:26 2017
 D16    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:20:56 2017
 D22    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:30:08 2017
 D24    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:32:23 2017
 D29    1.000   BH2015      0      0      0        0.00        0.00        0.00             Thu Jun 15 22:34:01 2017
  D3    2.007   BH2015      0      0      0        0.00        0.00        0.00             Fri Jun 23 14:50:12 2017
  D4    2.001   BH2015     36      2     36   497446.91   498160.53   503926.91             Fri Jun 23 14:52:02 2017
